"mouse";"Set ID";"FITC Rank";"Lgth Rank";"Rel len";"Total Len";"Len";"No_foci";"F1";"F2";"round F1";"round F2"
2;"m2-2 s46";12;16;0.0310434350;154.85;4.81;1;0.28;;0.28;
2;"m2-2 s46";13;14;0.0331659617;154.85;5.14;1;0.99;;0.99;
2;"m2-2 s46";14;12;0.0425096977;154.85;6.58;1;0.94;;0.94;
2;"m2-2 s46";15;15;0.0311884625;154.85;4.83;1;0.77;;0.77;
2;"m2-2 s46";16;17;0.0298525047;154.85;4.62;1;0.96;;0.96;
2;"m2-2 s46";17;13;0.0411185556;154.85;6.37;1;0.74;;0.74;
2;"m2-2 s46";18;18;0.0255406281;154.85;3.95;1;0.23;;0.23;
2;"m2-2 s46";19;19;0.0206667752;154.85;3.20;1;0.60;;0.6;
2;"m2-2 s48";1;3;0.0731598985;110.44;8.08;1;0.41;;0.41;
2;"m2-2 s48";2;1;0.1024410751;110.44;11.31;1;1.00;;1;
2;"m2-2 s48";3;5;0.0596231694;110.44;6.58;1;0.16;;0.16;
2;"m2-2 s48";4;6;0.0594590041;110.44;6.57;1;0.35;;0.35;
2;"m2-2 s48";5;4;0.0616002209;110.44;6.80;1;0.47;;0.47;
2;"m2-2 s48";6;12;0.0473473680;110.44;5.23;1;0.54;;0.54;
2;"m2-2 s48";7;7;0.0542800207;110.44;5.99;1;0.97;;0.97;
2;"m2-2 s48";8;11;0.0493498148;110.44;5.45;1;0.66;;0.66;
2;"m2-2 s48";9;8;0.0510517398;110.44;5.64;1;0.91;;0.91;
2;"m2-2 s48";10;10;0.0499689108;110.44;5.52;1;0.38;;0.38;
2;"m2-2 s48";11;2;0.0835788020;110.44;9.23;2;0.20;0.98;0.2;0.98
2;"m2-2 s48";12;9;0.0504644853;110.44;5.57;1;0.72;;0.72;
2;"m2-2 s48";13;13;0.0467798284;110.44;5.17;1;0.85;;0.85;
2;"m2-2 s48";14;15;0.0406345852;110.44;4.49;1;0.94;;0.94;
2;"m2-2 s48";15;16;0.0364666104;110.44;4.03;1;0.58;;0.58;
2;"m2-2 s48";16;17;0.0348460019;110.44;3.85;1;0.54;;0.54;
2;"m2-2 s48";17;14;0.0414397584;110.44;4.58;1;0.93;;0.93;
2;"m2-2 s48";18;18;0.0315402925;110.44;3.48;1;0.45;;0.45;
2;"m2-2 s48";19;19;0.0259684138;110.44;2.87;1;0.94;;0.94;
2;"m2-2 s49";1;1;0.0864576648;106.68;9.22;1;0.73;;0.73;
2;"m2-2 s49";2;5;0.0635169627;106.68;6.78;1;0.32;;0.32;
2;"m2-2 s49";3;11;0.0550142003;106.68;5.87;1;0.58;;0.58;
2;"m2-2 s49";4;10;0.0553342899;106.68;5.90;1;0.64;;0.64;
2;"m2-2 s49";5;3;0.0697294183;106.68;7.44;1;0.48;;0.48;
2;"m2-2 s49";6;6;0.0632065397;106.68;6.74;1;0.64;;0.64;
2;"m2-2 s49";7;2;0.0832022259;106.68;8.88;1;0.10;;0.1;
2;"m2-2 s49";8;7;0.0611261294;106.68;6.52;1;0.97;;0.97;
2;"m2-2 s49";9;8;0.0592730035;106.68;6.32;2;0.26;0.95;0.26;0.95
2;"m2-2 s49";10;4;0.0649630446;106.68;6.93;2;0.45;0.92;0.45;0.92
2;"m2-2 s49";11;9;0.0555364053;106.68;5.92;1;0.86;;0.86;
2;"m2-2 s49";12;13;0.0401791376;106.68;4.29;1;0.92;;0.92;
2;"m2-2 s49";13;12;0.0429138978;106.68;4.58;1;0.97;;0.97;
2;"m2-2 s49";14;16;0.0383034165;106.68;4.09;1;0.62;;0.62;
2;"m2-2 s49";15;14;0.0390432094;106.68;4.17;1;0.98;;0.98;
2;"m2-2 s49";16;17;0.0300415555;106.68;3.20;1;0.42;;0.42;
2;"m2-2 s49";17;15;0.0384804377;106.68;4.11;1;0.99;;0.99;
2;"m2-2 s49";18;18;0.0297773107;106.68;3.18;1;0.90;;0.9;
2;"m2-2 s49";19;19;0.0239011504;106.68;2.55;1;0.76;;0.76;
